code,name,country,route_count,importance,hub_count
YE,Yellowtail,United States,0,0.0,0
5Z,VivaColombia,Colombia,7,0.0028180354,3
I8,IzAvia,Russia,8,0.0032206119,3
S8,Snowbird Airlines,Finland,0,0.0,0
NR,Jettor Airlines,Hong Kong,0,0.0,0
KH,Kharkiv Airlines,Ukraine,0,0.0,0
LB,Air Costa,India,0,0.0,0
LT,Air Lituanica,Lithuania,12,0.0048309179,3
QD,Dobrolet,Russia,0,0.0,0
RM,Rainbow Air US,United States,0,0.0,0
RN,Rainbow Air (RAI),United States,0,0.0,0
XP,XPTO,Portugal,0,0.0,0
ZM,Apache Air,United States,4,0.001610306,3
RX,Rainbow Air Polynesia,United States,20,0.0080515298,3
..,Avilu,Switzerland,0,0.0,0
RU,Rainbow Air Euro,United Kingdom,0,0.0,0
RY,Rainbow Air Canada,Canada,0,0.0,0
A2,All America,United States,10,0.0040257649,3
L9,All Asia,China,0,0.0,0
N9,All Europe,United Kingdom,0,0.0,0
9A,All Africa,South Africa,0,0.0,0
9X,Regionalia Venezuela,Venezuela,0,0.0,0
9J,Regionalia Chile,Chile,0,0.0,0
2X,Regionalia Uruguay,Uruguay,0,0.0,0
8K,Voestar,Brazil,0,0.0,0
PO,FlyPortugal,Portugal,0,0.0,0
N7,All Spain,Spain,0,0.0,0
KP,Dense Airways,United States,0,0.0,0
ER,Fly Europa,Spain,0,0.0,0
6C,Vuela Cuba,Cuba,0,0.0,0
WE,Thai Smile Airways,Thailand,0,0.0,0
1X,Island Express Air,Canada,0,0.0,0
88,All Australia,Australia,0,0.0,0
7O,All Colombia,Colombia,0,0.0,0
Z0,All Argentina Express,Argentina,0,0.0,0
RT,Real Tonga,Tonga,0,0.0,0
2R,All America AR,Argentina,0,0.0,0
DU,Norwegian Long Haul AS,Norway,0,0.0,0
KZ,Dense Connection,United States,0,0.0,0
S0,Spike Airlines,United States,0,0.0,0
E8,City Airways,Thailand,6,0.0024154589,3
X5,Fly Romania,Romania,0,0.0,0
1R,All America CL,Chile,0,0.0,0
9V,Volotea Costa Rica,Costa Rica,31,0.0124798712,3
0M,All America MX,Mexico,0,0.0,0
1Y,All America BR,Brazil,0,0.0,0
0Y,All America CO,Colombia,0,0.0,0
E2,Eagle Atlantic Airlines,Ghana,12,0.0048309179,3
FX,FOX Linhas Aereas,Brazil,0,0.0,0
J1,OneJet,United States,0,0.0,0
0G,Global Airlines,Argentina,0,0.0,0
ZT,Tomp Airlines,Chile,0,0.0,0
1E,TransRussiaAirlines,Russia,0,0.0,0
OP,Air Pegasus,India,0,0.0,0
D2,Severstal Air Company,Russia,18,0.0072463768,3
UK,Air Vistara,India,0,0.0,0
9I,International Europe,Spain,0,0.0,0
Q4,SOCHI AIR EXPRESS,Russia,0,0.0,0
LE,Liberty Airways,United States,0,0.0,0
5B,Bassaka airlines,Cambodia,0,0.0,0
ZV,V Air,Taiwan,0,0.0,0
Z5,INAVIA Internacional,Argentina,0,0.0,0
GX,GermanXL,Germany,0,0.0,0
6V,Via Conectia Airlines,Uruguay,0,0.0,0
Q7,SkyBahamas Airlines,Bahamas,14,0.0056360709,3
V1,VIA Líneas Aéreas,Argentina,0,0.0,0
FF,Fly France,France,0,0.0,0
АЯ,Аэросервис,Russia,0,0.0,0
EE,Nordica,Estonia,0,0.0,0
EX,Europe Jet,France,0,0.0,0
AG,All America US,United States,0,0.0,0
2S,Air Carnival,India,0,0.0,0
3M,Silver Airways (3M),United States,67,0.0269726248,3
7R,Svyaz Rossiya,Russia,72,0.0289855072,3
JG,Jetgo Australia,Australia,0,0.0,0
